dt_s,error_euler_m,error_verlet_half_m,error_verlet_iter_m
1.00,3.098618e+02,7.018988e+01,2.886935e-04
1.35,4.183545e+02,9.476584e+01,3.536529e-04
1.82,5.648310e+02,1.279455e+02,5.730392e-04
2.46,7.625904e+02,1.727415e+02,1.060065e-03
3.32,1.029594e+03,2.332222e+02,1.942726e-03
4.49,1.390061e+03,3.148729e+02,3.581863e-03
6.06,1.876779e+03,4.251216e+02,6.489094e-03
8.18,2.533815e+03,5.739450e+02,1.184288e-02
11.04,3.421056e+03,7.749140e+02,2.158130e-02
14.91,4.618723e+03,1.046184e+03,3.936176e-02
20.13,6.235730e+03,1.412425e+03,7.173953e-02
27.17,8.418441e+03,1.906759e+03,1.307688e-01
36.69,1.136828e+04,2.574901e+03,2.383743e-01
49.53,1.534779e+04,3.476091e+03,4.345204e-01
66.87,2.072002e+04,4.692543e+03,7.920580e-01
90.29,2.797549e+04,6.335305e+03,1.443800e+00
121.90,3.777107e+04,8.552818e+03,2.631820e+00
164.58,5.098654e+04,1.154351e+04,4.797402e+00
222.20,6.886681e+04,1.559000e+04,8.744914e+00
300.00,9.278837e+04,2.099372e+04,1.594063e+01
