pair,angle_i_deg,angle_j_deg,lyapunov_exp_per_day,r_squared
0,0.0,22.5,0.4440,0.9539
1,22.5,45.0,0.3517,0.8925
2,45.0,67.5,0.6470,0.9878
3,67.5,90.0,0.7474,0.9906
4,90.0,112.5,0.7820,0.9905
5,112.5,135.0,0.7790,0.9917
6,135.0,157.5,0.7388,0.9942
7,157.5,180.0,0.6357,0.9940
8,180.0,202.5,0.3856,0.9461
9,202.5,225.0,0.3359,0.8657
10,225.0,247.5,0.5948,0.9791
11,247.5,270.0,0.7077,0.9856
12,270.0,292.5,0.7651,0.9884
13,292.5,315.0,0.7888,0.9922
14,315.0,337.5,0.7758,0.9963
15,337.5,0.0,0.6959,0.9952

mean,,,0.6360,0.9715
std,,,0.1592,
lyapunov_time_days,,,1.57,
lambda_theory_range,,,0.25-0.35,
